file,target,C,max_iter,tol,class_weight,n_samples_used,n_rows_dropped,n_features,n_classes,train_acc,test_acc,classes,fit_sec,note
qp_modality_sae_layer14.parquet,palmer_quirk_pair,1.0,1000,0.001,balanced,478,4362,32767,8,0.9685863874345549,0.8854166666666666,deontic|obligation|dynamic|ability|dynamic|possibility|dynamic|prediction|dynamic|volition|epistemic|necessity|epistemic|possibility|epistemic|prediction,3.6783792972564697,
qp_modality_sae_layer14.parquet,palmer_quirk_pair,1.0,2000,0.0001,none,478,4362,32767,8,0.9345549738219895,0.875,deontic|obligation|dynamic|ability|dynamic|possibility|dynamic|prediction|dynamic|volition|epistemic|necessity|epistemic|possibility|epistemic|prediction,13.235637426376343,
qp_modality_sae_layer14.parquet,palmer_quirk_pair,1.0,2000,0.0001,balanced,478,4362,32767,8,0.9712041884816754,0.8541666666666666,deontic|obligation|dynamic|ability|dynamic|possibility|dynamic|prediction|dynamic|volition|epistemic|necessity|epistemic|possibility|epistemic|prediction,14.327301740646362,
qp_modality_sae_layer15.parquet,modal_verb,1.0,1000,0.001,none,4840,0,32768,10,0.9984504132231405,0.9989669421487604,can|could|may|might|must|ought to|shall|should|will|would,27.452367544174194,
qp_modality_sae_layer15.parquet,modal_verb,1.0,1000,0.001,balanced,4840,0,32768,10,0.9984504132231405,0.9989669421487604,can|could|may|might|must|ought to|shall|should|will|would,27.003480195999146,
qp_modality_sae_layer15.parquet,modal_verb,1.0,2000,0.0001,none,4840,0,32768,10,0.9989669421487604,0.9989669421487604,can|could|may|might|must|ought to|shall|should|will|would,154.20227336883545,
qp_modality_sae_layer15.parquet,modal_verb,1.0,2000,0.0001,balanced,4840,0,32768,10,0.9989669421487604,0.9989669421487604,can|could|may|might|must|ought to|shall|should|will|would,151.00814747810364,
qp_modality_sae_layer15.parquet,palmer_expected,1.0,1000,0.001,none,484,4356,32768,3,0.9405684754521964,0.8865979381443299,deontic|dynamic|epistemic,1.3211233615875244,
qp_modality_sae_layer15.parquet,palmer_expected,1.0,1000,0.001,balanced,484,4356,32768,3,0.9302325581395349,0.8762886597938144,deontic|dynamic|epistemic,1.1310031414031982,
qp_modality_sae_layer15.parquet,palmer_expected,1.0,2000,0.0001,none,484,4356,32768,3,0.9354005167958657,0.9072164948453608,deontic|dynamic|epistemic,7.460571050643921,
qp_modality_sae_layer15.parquet,palmer_expected,1.0,2000,0.0001,balanced,484,4356,32768,3,0.9328165374677002,0.8865979381443299,deontic|dynamic|epistemic,7.4048566818237305,
qp_modality_sae_layer15.parquet,quirk_expected,1.0,1000,0.001,none,481,4359,32768,6,0.9583333333333334,0.8969072164948454,ability|necessity|obligation|possibility|prediction|volition,2.4994494915008545,
