file,target,C,max_iter,tol,class_weight,n_samples_used,n_rows_dropped,n_features,n_classes,train_acc,test_acc,nnz_features,fit_sec,note
qp_tense_sae_layer12.parquet,tense,1.0,1000,0.0001,none,1411,0,32763,7,0.9964539007092199,0.9893992932862191,17,5.348714351654053,
qp_tense_sae_layer12.parquet,tense,1.0,2000,0.0001,none,1411,0,32763,7,0.9964539007092199,0.9893992932862191,17,5.363103151321411,
qp_tense_sae_layer12.parquet,tense,1.0,3000,0.0001,none,1411,0,32763,7,0.9964539007092199,0.9893992932862191,17,5.352543592453003,
qp_tense_sae_layer12.parquet,tense,1.0,4000,0.0001,none,1411,0,32763,7,0.9964539007092199,0.9893992932862191,17,5.3994362354278564,
qp_tense_sae_layer12.parquet,tense,1.0,5000,0.0001,none,1411,0,32763,7,0.9964539007092199,0.9893992932862191,17,5.389322280883789,
qp_tense_sae_layer12.parquet,aspect,0.25,1000,0.0001,none,1411,0,32763,2,0.9884751773049646,0.9929328621908127,7,0.5397958755493164,
qp_tense_sae_layer12.parquet,aspect,0.25,2000,0.0001,none,1411,0,32763,2,0.9884751773049646,0.9929328621908127,7,0.5291521549224854,
qp_tense_sae_layer12.parquet,aspect,0.25,3000,0.0001,none,1411,0,32763,2,0.9884751773049646,0.9929328621908127,7,0.5225832462310791,
qp_tense_sae_layer12.parquet,aspect,0.25,4000,0.0001,none,1411,0,32763,2,0.9884751773049646,0.9929328621908127,7,0.5423069000244141,
qp_tense_sae_layer12.parquet,aspect,0.25,5000,0.0001,none,1411,0,32763,2,0.9884751773049646,0.9929328621908127,7,0.5386035442352295,
qp_tense_sae_layer12.parquet,aspect,0.5,1000,0.0001,none,1411,0,32763,2,0.9937943262411347,0.9929328621908127,8,1.9351458549499512,
qp_tense_sae_layer12.parquet,aspect,0.5,2000,0.0001,none,1411,0,32763,2,0.9937943262411347,0.9929328621908127,8,1.9153292179107666,
qp_tense_sae_layer12.parquet,aspect,0.5,3000,0.0001,none,1411,0,32763,2,0.9937943262411347,0.9929328621908127,8,2.0348639488220215,
qp_tense_sae_layer12.parquet,aspect,0.5,4000,0.0001,none,1411,0,32763,2,0.9937943262411347,0.9929328621908127,8,1.9349722862243652,
qp_tense_sae_layer12.parquet,aspect,0.5,5000,0.0001,none,1411,0,32763,2,0.9937943262411347,0.9929328621908127,8,1.9225666522979736,
qp_tense_sae_layer12.parquet,aspect,1.0,1000,0.0001,none,1411,0,32763,2,0.9964539007092199,0.9929328621908127,8,2.1741294860839844,
